tokens,token_n,N_1,new
ETYMOLOGY,1057,1057,1
.,1058,1058,1
(,1059,1059,1
Supplied,1060,1060,1
by,1061,1061,1
a,1062,1062,1
Late,1063,1063,0
Consumptive,1064,1064,0
Usher,1065,1065,0
to,1066,1066,1
a,1067,1067,1
Grammar,1068,1068,0
School,1069,1069,0
.,1070,1070,1
),1071,1071,1
The,1072,1072,1
pale,1073,1073,0
Usher—threadbare,1074,1074,0
in,1075,1075,1
coat,1076,1076,0
",",1077,1077,1
heart,1078,1078,0
",",1079,1079,1
body,1080,1080,0
",",1081,1081,1
and,1082,1082,1
brain,1083,1083,0
;,1084,1084,1
I,1085,1085,0
see,1086,1086,0
him,1087,1087,0
now,1088,1088,0
.,1089,1089,1
He,1090,1090,1
was,1091,1091,1
ever,1092,1092,0
dusting,1093,1093,0
his,1094,1094,0
old,1095,1095,0
lexicons,1096,1096,0
and,1097,1097,1
grammars,1098,1098,0
",",1099,1099,1
with,1100,1100,1
a,1101,1101,1
queer,1102,1102,0
handkerchief,1103,1103,0
",",1104,1104,1
mockingly,1105,1105,0
embellished,1106,1106,0
with,1107,1107,1
all,1108,1108,0
the,1109,1109,1
gay,1110,1110,0
flags,1111,1111,0
of,1112,1112,1
all,1113,1113,1
the,1114,1114,1
known,1115,1115,0
nations,1116,1116,0
of,1117,1117,1
the,1118,1118,1
world,1119,1119,0
.,1120,1120,1
He,1121,1121,1
loved,1122,1122,0
to,1123,1123,1
dust,1124,1124,0
his,1125,1125,1
old,1126,1126,1
grammars,1127,1127,1
;,1128,1128,1
it,1129,1129,0
somehow,1130,1130,0
mildly,1131,1131,0
reminded,1132,1132,0
him,1133,1133,1
of,1134,1134,1
his,1135,1135,1
mortality,1136,1136,0
.,1137,1137,1
“,1138,1138,0
While,1139,1139,0
you,1140,1140,0
take,1141,1141,0
in,1142,1142,1
hand,1143,1143,0
to,1144,1144,1
school,1145,1145,0
others,1146,1146,0
",",1147,1147,1
and,1148,1148,1
to,1149,1149,1
teach,1150,1150,0
them,1151,1151,0
by,1152,1152,1
what,1153,1153,0
name,1154,1154,0
a,1155,1155,1
whale-fish,1156,1156,0
is,1157,1157,1
to,1158,1158,1
be,1159,1159,0
called,1160,1160,0
in,1161,1161,1
our,1162,1162,0
tongue,1163,1163,0
",",1164,1164,1
leaving,1165,1165,0
out,1166,1166,0
",",1167,1167,1
through,1168,1168,0
ignorance,1169,1169,0
",",1170,1170,1
the,1171,1171,1
letter,1172,1172,0
H,1173,1173,0
",",1174,1174,1
which,1175,1175,0
almost,1176,1176,0
alone,1177,1177,0
maketh,1178,1178,0
up,1179,1179,0
the,1180,1180,1
signification,1181,1181,0
of,1182,1182,1
the,1183,1183,1
word,1184,1184,0
",",1185,1185,1
you,1186,1186,1
deliver,1187,1187,0
that,1188,1188,0
which,1189,1189,1
is,1190,1190,1
not,1191,1191,0
true.,1192,1192,0
”,1193,1193,0
—_Hackluyt._,1194,1194,0
“,1195,1195,1
WHALE,1196,1196,1
.,1197,1197,1
*,1198,1198,0
*,1199,1199,1
*,1200,1200,1
Sw.,1201,1201,0
and,1202,1202,1
Dan,1203,1203,0
.,1204,1204,1
_hval_,1205,1205,0
.,1206,1206,1
This,1207,1207,1
animal,1208,1208,0
is,1209,1209,1
named,1210,1210,0
from,1211,1211,1
roundness,1212,1212,0
or,1213,1213,1
rolling,1214,1214,0
;,1215,1215,1
for,1216,1216,1
in,1217,1217,1
Dan,1218,1218,1
.,1219,1219,1
_hvalt_,1220,1220,0
is,1221,1221,1
arched,1222,1222,0
or,1223,1223,1
vaulted.,1224,1224,0
”,1225,1225,1
—_Webster,1226,1226,0
’,1227,1227,1
s,1228,1228,1
Dictionary._,1229,1229,0
“,1230,1230,1
WHALE,1231,1231,1
.,1232,1232,1
*,1233,1233,1
*,1234,1234,1
*,1235,1235,1
It,1236,1236,0
is,1237,1237,1
more,1238,1238,0
immediately,1239,1239,0
from,1240,1240,1
the,1241,1241,1
Dut,1242,1242,0
.,1243,1243,1
and,1244,1244,1
Ger,1245,1245,0
.,1246,1246,1
_Wallen_,1247,1247,0
;,1248,1248,1
A.S.,1249,1249,0
_Walw-ian_,1250,1250,0
",",1251,1251,1
to,1252,1252,1
roll,1253,1253,0
",",1254,1254,1
to,1255,1255,1
wallow.,1256,1256,0
”,1257,1257,1
—_Richardson,1258,1258,0
’,1259,1259,1
s,1260,1260,1
Dictionary._,1261,1261,1
חו,1262,1262,0
",",1263,1263,1
_Hebrew_,1264,1264,0
.,1265,1265,1
